KPI_SK,KPI_DATAELEMENT_SK,KPI_NAME,KPI_DESC,KPI_DATAELEMENT_NAME,KPI_GROUP,KPI_LEVEL,NUMERIC_VALUE,UOM,PERIOD,START_DATE,END_DATE,TARGET_VALUE,TRENDING_DIRECTION,PRIORITY_OUTCOME,PRIORITY_OUTCOME_DESC,PRIORITY_NAME,PRIORITY_AREA_NAME,PRIORITY_AREA_DESC
1,2444,First Unit on Scene to Fire Calls - Urban (Percentage),"Percentage of calls where first unit arrived within the urban fire response time (8 minutes, urban districts with 100 persons per sq. km or more). Time from connection to 911 until first fire apparatus arrives on scene. (Municipal data)",Current First Unit on Scene to Fire Calls - Urban (Percentage),,1,69.4,%,2017,1/4/2017,31/03/2018,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
1,2444,First Unit on Scene to Fire Calls - Urban (Percentage),"Percentage of calls where first unit arrived within the urban fire response time (8 minutes, urban districts with 100 persons per sq. km or more). Time from connection to 911 until first fire apparatus arrives on scene. (Municipal data)",Current First Unit on Scene to Fire Calls - Urban (Percentage),,1,75,%,2018,1/4/2018,31/03/2019,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
1,2444,First Unit on Scene to Fire Calls - Urban (Percentage),"Percentage of calls where first unit arrived within the urban fire response time (8 minutes, urban districts with 100 persons per sq. km or more). Time from connection to 911 until first fire apparatus arrives on scene. (Municipal data)",Current First Unit on Scene to Fire Calls - Urban (Percentage),,1,76.4,%,2020,1/4/2020,31/03/2021,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
1,2444,First Unit on Scene to Fire Calls - Urban (Percentage),"Percentage of calls where first unit arrived within the urban fire response time (8 minutes, urban districts with 100 persons per sq. km or more). Time from connection to 911 until first fire apparatus arrives on scene. (Municipal data)",Current First Unit on Scene to Fire Calls - Urban (Percentage),,1,78.4,%,2019,1/4/2019,31/03/2020,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
2,2446,First Unit on Scene to Fire Calls - Rural (Percentage),"Percentage of calls where first unit arrived within the rural fire response time (13 mins (career), 17.5 mins (volunteer)). Time from connection to 911 until first fire apparatus arrives on scene (Municipal data)",Current First Unit on Scene to Fire Calls - Rural (Percentage),,1,75.5,%,2019,1/4/2019,31/03/2020,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
2,2446,First Unit on Scene to Fire Calls - Rural (Percentage),"Percentage of calls where first unit arrived within the rural fire response time (13 mins (career), 17.5 mins (volunteer)). Time from connection to 911 until first fire apparatus arrives on scene (Municipal data)",Current First Unit on Scene to Fire Calls - Rural (Percentage),,1,76.7,%,2017,1/4/2017,31/03/2018,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
2,2446,First Unit on Scene to Fire Calls - Rural (Percentage),"Percentage of calls where first unit arrived within the rural fire response time (13 mins (career), 17.5 mins (volunteer)). Time from connection to 911 until first fire apparatus arrives on scene (Municipal data)",Current First Unit on Scene to Fire Calls - Rural (Percentage),,1,77.2,%,2018,1/4/2018,31/03/2019,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
2,2446,First Unit on Scene to Fire Calls - Rural (Percentage),"Percentage of calls where first unit arrived within the rural fire response time (13 mins (career), 17.5 mins (volunteer)). Time from connection to 911 until first fire apparatus arrives on scene (Municipal data)",Current First Unit on Scene to Fire Calls - Rural (Percentage),,1,83.2,%,2020,1/4/2020,31/03/2021,90,UP,Safe Communities,Residents and visitors feel safe and are supported by a network of social infrastructure that helps community members thrive. ,Council Priority,Communities,The municipality boasts strong social equity through meaningful engagement to build safer and more inclusive communities for all.
4,2448,Number of people Employed,Number of employed people within the Municipality (Statistics Canada data),Current Number of people Employed,,1,224600,,2016,1/4/2016,31/03/2017,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
4,2448,Number of people Employed,Number of employed people within the Municipality (Statistics Canada data),Current Number of people Employed,,1,226100,,2015,1/4/2015,31/03/2016,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
4,2448,Number of people Employed,Number of employed people within the Municipality (Statistics Canada data),Current Number of people Employed,,1,233900,,2019,1/4/2019,31/03/2020,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
4,2448,Number of people Employed,Number of employed people within the Municipality (Statistics Canada data),Current Number of people Employed,,1,234200,,2017,1/4/2017,31/03/2018,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
4,2448,Number of people Employed,Number of employed people within the Municipality (Statistics Canada data),Current Number of people Employed,,1,240700,,2018,1/4/2018,31/03/2019,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
5,2450,Population size of the Municipality,Population estimates for the Halifax Regional Municipality (Statistics Canada data),Current Population size of the Municipality,,1,414015,,2016,1/4/2016,31/03/2017,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
5,2450,Population size of the Municipality,Population estimates for the Halifax Regional Municipality (Statistics Canada data),Current Population size of the Municipality,,1,421713,,2017,1/4/2017,31/03/2018,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
5,2450,Population size of the Municipality,Population estimates for the Halifax Regional Municipality (Statistics Canada data),Current Population size of the Municipality,,1,429895,,2018,1/4/2018,31/03/2019,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
5,2450,Population size of the Municipality,Population estimates for the Halifax Regional Municipality (Statistics Canada data),Current Population size of the Municipality,,1,439529,,2019,1/4/2019,31/03/2020,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
5,2450,Population size of the Municipality,Population estimates for the Halifax Regional Municipality (Statistics Canada data),Current Population size of the Municipality,,1,448544,,2020,1/4/2020,31/03/2021,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
6,2452,Number of people available for employment - Labour Force Size,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed (Statistics Canada data)",Current Number of people available for employment - Labour Force Size,,1,240700,,2016,1/4/2016,31/03/2017,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
6,2452,Number of people available for employment - Labour Force Size,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed (Statistics Canada data)",Current Number of people available for employment - Labour Force Size,,1,241000,,2017,1/4/2017,31/03/2018,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
6,2452,Number of people available for employment - Labour Force Size,"Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed (Statistics Canada data)",Current Number of people available for employment - Labour Force Size,,1,249000,,2018,1/4/2018,31/03/2019,,UP,Talent Attraction & Retention ,A welcoming community that attracts and retains the world’s talent.,Council Priority,Prosperous Economy,"A prosperous and growing economy positions the municipality as a business and tourism destination of choice, with economic opportunities for all."
